"id","name"
"1","10oz"
"2","12oz"
"3","14oz"
"4","16oz"
"5","18oz"
"6","20oz"
"7","XXS"
"8","XS"
"9","S"
"10","M"
"11","L"
"12","XL"
"13","XXL"
"14","S/M"
"15","L/XL"
"16","4oz"
"17","6oz"
"18","8oz"
"19","standard"
"20","60x60"
