"id","product_id","color_id","size_id","quantity"
"1","1","1","1","10"
"2","2","1","1","0"
"3","3","1","2","0"
"4","4","1","3","0"
"5","5","1","4","0"
"6","6","1","1","9"
"7","6","1","2","10"
"8","6","1","3","13"
"9","6","1","4","8"
"10","7","1","1","4"
"11","7","1","2","4"
"12","7","1","3","37"
"13","7","1","4","18"
"14","8","2","1","0"
"15","8","2","2","0"
"16","8","2","3","0"
"17","8","2","4","0"
"18","8","2","5","0"
"19","8","2","6","0"
"20","9","3","1","0"
"21","10","5","1","0"
"22","10","5","2","0"
"23","10","5","3","0"
"24","10","5","4","0"
"25","11","7","1","0"
"26","11","7","2","0"
"27","11","7","3","0"
"28","11","7","4","0"
"29","11","8","1","0"
"30","11","8","2","0"
"31","11","8","3","0"
"32","11","8","4","0"
"33","12","9","1","0"
"34","12","9","2","0"
"35","12","9","3","0"
"36","12","9","4","0"
"37","13","10","14","0"
"38","13","10","15","0"
"39","13","11","14","0"
"40","13","11","15","0"
"41","14","12","16","0"
"42","14","12","17","0"
"43","14","12","18","0"
"44","14","12","1","0"
"45","14","12","2","0"
"46","14","12","3","0"
"47","14","12","4","0"
"48","15","3","9","0"
"49","15","3","10","10"
"50","15","3","11","0"
"51","15","3","12","0"
"52","15","13","9","0"
"53","15","13","10","10"
"54","15","13","11","0"
"55","15","13","12","0"
"56","16","10","9","19"
"57","16","10","10","38"
"58","16","10","11","19"
"59","17","1","9","0"
"60","17","1","10","0"
"61","17","1","11","0"
"62","17","1","12","0"
"63","18","11","9","0"
"64","18","11","10","0"
"65","18","11","11","0"
"66","18","11","12","0"
"67","19","1","9","0"
"68","19","1","10","0"
"69","19","1","11","0"
"70","19","5","9","0"
"71","19","5","10","0"
"72","19","5","11","0"
"73","20","2","9","0"
"74","20","2","10","0"
"75","20","2","11","0"
"76","21","3","7","0"
"77","21","3","8","0"
"78","21","3","9","0"
"79","21","3","10","0"
"80","21","3","11","0"
"81","21","3","12","0"
"82","21","3","13","0"
"83","21","13","7","0"
"84","21","13","8","0"
"85","21","13","9","0"
"86","21","13","10","0"
"87","21","13","11","0"
"88","21","13","12","0"
"89","21","13","13","0"
"90","21","1","7","0"
"91","21","1","8","0"
"92","21","1","9","0"
"93","21","1","10","0"
"94","21","1","11","0"
"95","21","1","12","0"
"96","21","1","13","0"
"97","22","2","8","0"
"98","22","2","9","0"
"99","22","2","10","0"
"100","22","2","11","0"
"101","22","2","12","0"
"102","22","2","13","0"
"103","22","1","8","0"
"104","22","1","9","0"
"105","22","1","10","0"
"106","22","1","11","0"
"107","22","1","12","0"
"108","22","1","13","0"
"109","23","5","19","0"
"110","24","3","19","12"
"111","24","13","19","11"
"112","24","1","19","0"
"113","25","3","19","0"
"114","25","13","19","0"
"115","25","1","19","8"
"116","26","2","19","0"
"117","27","11","19","8795"
"118","28","3","19","0"
"119","28","13","19","0"
"120","28","1","19","0"
"121","29","5","19","8088871"
"122","30","1","19","0"
"123","31","3","19","0"
"124","31","13","19","0"
"125","31","1","19","0"
"126","32","3","19","0"
"127","32","13","19","0"
"128","32","1","19","0"
"129","33","3","19","0"
"130","33","13","19","0"
"131","33","1","19","0"
"132","34","3","19","0"
"133","34","13","19","0"
"134","34","1","19","0"
"135","35","1","19","0"
"136","36","11","19","0"
"137","37","5","19","0"
