"id","name"
"1","Black"
"2","WHITE"
"3","RED"
"4","GOLDEN"
"5","Black & Red"
"6","Red & Golden"
"7","MAROON"
"8","PURPLE"
"9","GREEN"
"10","WHITE & GOLD"
"11","BLACK & GOLD"
"12","PINK"
"13","Blue"
"14","Golden & Black"
"16","Black & White"
"18","Natural"
"19","Grey"
"20","Yellow"
"21","Navy"
"22","Assorted"
"23","WHITE & RED"
"24","WHITE & BLUE"
